;Группа;Артикул;Номенклатура;Модели;ЦЕНА;;
;CHEVROLET;96248535;Боковина крыши правая 4N;LAN;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96462964;Боковина крыши правая 4N;AVEO-2;7260;;9438
;CHEVROLET;96875289;Боковина левая ;LACTT;14630;;19019
;CHEVROLET;96267905;Боковина левая 4 DR;LAN;15000;;19500
;CHEVROLET;96648410;Боковина левая 4N;AVEO-2;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96533381;Боковина левая 5 DR;AVEO;13940;;18122
;CHEVROLET;96455972;Боковина правая;LACTT;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96648411;Боковина правая 4N;AVEO-2;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96544974;Боковина правая 4N;LACTT;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96544966;Боковина правая 4N;LACTT;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96267906;Боковина правая 4N;LAN;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;94520494;Болт крепления решетки радиатора;AVEO-2;10;;13
;CHEVROLET;94500712;Болт кулака поворотного переднего;LACTT;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;94500716;Болт рычага перед;LACTT;80;;104
;CHEVROLET;96262669;Брызговик бампера заднего левый;REZZO;160;;208
;CHEVROLET;96262670;Брызговик бампера заднего правый;REZZO;160;;208
;CHEVROLET;96617617;Брызговик заднего бампера лев (вагон);LACTT;160;;208
;CHEVROLET;96545645;Брызговик заднего бампера лев (седан);LACTT;160;;208
;CHEVROLET;96545643;Брызговик заднего бампера лев (хечбек);LACTT;160;;208
;CHEVROLET;96617618;Брызговик заднего бампера прав (вагон);LACTT;160;;208
;CHEVROLET;96545646;Брызговик заднего бампера прав (седан);LACTT;160;;208
;CHEVROLET;96545644;Брызговик заднего бампера прав (хечбек);LACTT;160;;208
;CHEVROLET;96590747;Брызговик задний левый;SPARK;100;;130
;CHEVROLET;96262667;Брызговик задний левый;REZZO;130;;169
;CHEVROLET;96617615;Брызговик задний левый (вагон);LACTT;120;;156
;CHEVROLET;96545639;Брызговик задний левый (седан);LACTT;120;;156
;CHEVROLET;96543161;Брызговик задний левый (седан);AVEO;130;;169
;CHEVROLET;96648678;Брызговик задний левый (седан);AVEO-2;160;;208
;CHEVROLET;96545637;Брызговик задний левый (хэчбэк);LACTT;120;;156
;CHEVROLET;96543038;Брызговик задний левый (хэчбэк);AVEO;160;;208
;CHEVROLET;96303233;БРЫЗГОВИК ЗАДНИЙ ЛЕВЫЙ (шт,);LAN;130;;169
;CHEVROLET;96303239;Брызговик задний левый 3DR;LAN;130;;169
;CHEVROLET;96590748;Брызговик задний правый;SPARK;100;;130
;CHEVROLET;96262668;Брызговик задний правый;REZZO;130;;169
;CHEVROLET;96617616;Брызговик задний правый (вагон);LACTT;120;;156
;CHEVROLET;96545640;Брызговик задний правый (седан);LACTT;120;;156
;CHEVROLET;96306249;Брызговик задний правый (седан);LAN;200;;260
;CHEVROLET;96543162;Брызговик задний правый (седан);AVEO;130;;169
;CHEVROLET;96648679;Брызговик задний правый (седан);AVEO-2;160;;208
;CHEVROLET;96545638;Брызговик задний правый (хэчбэк);LACTT;120;;156
;CHEVROLET;96543039;Брызговик задний правый (хэчбэк);AVEO;160;;208
;CHEVROLET;96306250;Брызговик задний правый (хэчбэк);LAN;130;;169
;CHEVROLET;96262636;Брызговик передний левый;REZZO;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96590725;Брызговик передний левый;SPARK;100;;130
;CHEVROLET;96303235;Брызговик передний левый;LAN;200;;260
;CHEVROLET;96542973;Брызговик передний левый;AVEO;160;;208
;CHEVROLET;96545665;Брызговик передний левый;LACTT;260;;338
;CHEVROLET;96648536;Брызговик передний левый;AVEO-2;200;;260
;CHEVROLET;96590726;Брызговик передний правый;SPARK;100;;130
;CHEVROLET;96262637;Брызговик передний правый;REZZO;150;;195
;CHEVROLET;96306140;Брызговик передний правый;LAN;200;;260
;CHEVROLET;96542974;Брызговик передний правый;AVEO;200;;260
;CHEVROLET;96545666;Брызговик передний правый;LACTT;260;;338
;CHEVROLET;96648537;Брызговик передний правый;AVEO-2;200;;260
;CHEVROLET;96251301;Брызговик подкрылка переднего;LAN;200;;260
;CHEVROLET;96233161;Брызговик подкрылка переднего;LAN;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96259175;ВЕНТИЛЯТОР  ОХЛ LANOS БЕЗ КОНД;;3430;;4459
;CHEVROLET;96182264_0EM;Вентилятор кондиционера ;LAN;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96182264;Вентилятор кондиционера ;LAN;3020;;3926
;CHEVROLET;96190671;Вентилятор отопителя;LAN;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96395500;Вентилятор охлаждения;SPARK;3790;;4927
;CHEVROLET;96536638;Вентилятор охлаждения;AVEO, KALOS;3790;;4927
;CHEVROLET;96183756_OEM;Вентилятор охлаждения ;LAN;2550;;3315
;CHEVROLET;96183756;Вентилятор охлаждения ;LAN;3790;;4927
;CHEVROLET;96446140;Вентилятор охлаждения в сборе без кон;LAN;3790;;4927
;CHEVROLET;96553364_OEM;Вентилятор охлаждения главный  A/Т (с кондиц);LACCT 1,6L, LACCT 1,8L;1220;;1586
;CHEVROLET;96553364;Вентилятор охлаждения главный  A/Т (с кондиц);LACCT 1,6L, LACCT 1,8L;3810;;4953
;CHEVROLET;96553242;Вентилятор охлаждения главный 2,0 L DOHC;LACTT, REZZO;3810;;4953
;CHEVROLET;96553242_OEM;Вентилятор охлаждения главный М/Т;LACCT 1,6L, LACCT 1,8L;1250;;1625
;CHEVROLET;96536520;Вентилятор охлаждения дв-ля в сборе доп 1,4D с кодиц;AVEO-1;3020;;3926
;CHEVROLET;96553241;Вентилятор охлаждения дополн A/T с конд/без конд;LACCT 1,6L, LACCT 1,8L;3020;;3926
;CHEVROLET;96536666_OEM;Вентилятор охлаждения основной 1,4D;AVEO, AVEO-1, GENTRA/AVEO-2;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96536666;Вентилятор охлаждения основной 1,4D;AVEO, AVEO-1, GENTRA/AVEO-2;3790;;4927
;CHEVROLET;93740673;Вентилятор радиатора охлаждения;AVEO-1, AVEO-2;3530;;4589
;CHEVROLET;96553523;Воздуховод;LACTT;70;;91
;CHEVROLET;96435857;Воздухозаборник на торпеде;LACTT;590;;767
;CHEVROLET;96399746;Вставка хромированная на руль;AVEO;100;;130
;CHEVROLET;96231920;Втулка амортизатора заднего;LAN;100;;130
;CHEVROLET;96261123;Втулка балки задней;REZZO;480;;624
;CHEVROLET;96474040;Втулка переднего стабилизатора;LACTT;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96839848;Втулка переднего стабилизатора;LACTT;90;;117
;CHEVROLET;96536643;Втулка радиатора нижняя;AVEO-1;60;;78
;CHEVROLET;96475985;Втулка стабилизатора;EPICA, MAGNUS;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96859498;Втулка стабилизатора;EPICA;120;;156
;CHEVROLET;96434542;Втулка стабилизатора зад,(вагон);LACTT;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96474041;Втулка стабилизатора зад,(вагон);LACTT;110;;143
;CHEVROLET;96474042;Втулка стабилизатора заднего (wgn);LACTT;80;;104
;CHEVROLET;96434543;Втулка стабилизатора заднего (седан,хетч,);LACTT;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96474043;Втулка стабилизатора заднего (седан,хетч,);LACTT;80;;104
;CHEVROLET;96434541;Втулка стабилизатора пер WAG;LACTT;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96435295;Втулка стабилизатора переднего;AVEO;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96474045;Втулка стабилизатора переднего;REZZO;100;;130
;CHEVROLET;96653351;Втулка стабилизатора переднего;AVEO;120;;156
;CHEVROLET;96445044;Втулка стабилизатора переднего;LAN;70;;91
;CHEVROLET;96434540;Втулка стабилизатора переднего 4/5 DR;LACTT;140;;182
;CHEVROLET;96453381;Выключатель магнитолы;LACTT;900;;1170
;CHEVROLET;96242533;Выключатель стеклоподъёмника  двери задней левой;LAN;250;;325
;CHEVROLET;96279334;Выключатель стеклоподъёмника  двери задней левой;LAN;300;;390
;CHEVROLET;96242534;Выключатель стеклоподъёмника  двери задней правой;LAN;350;;455
;CHEVROLET;96279335;Выключатель стеклоподъёмника  двери задней правой;LAN;300;;390
;CHEVROLET;94515267;Гайка крепления бампера;LACTT;10;;13
;CHEVROLET;96540541;Генератор DOHC 1,4/1,6;AVEO, LACCT 1,4L, LACCT 1,6L;7430;;9659
;CHEVROLET;96286828;Гидромуфта сцепления (вместо выжимного подшипника);LACTT;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96460432;Глушитель задний (вагон);LACCT 1,6L;5960;;7748
;CHEVROLET;96553624;Глушитель задний (седан);LACCT 1,6L;7730;;10049
;CHEVROLET;96553617;Глушитель задний (хэтчбек);LACCT 1,6L;5580;;7254
;CHEVROLET;96654182;Глушитель задняя часть 1,4 DOHC/1,5 SOHC;AVEO-2;6680;;8684
;CHEVROLET;96264047;Глушитель задняя часть 1,6/2,0 L DOHC;REZZO;9560;;12428
;CHEVROLET;96333422;Глушитель задняя часть 4DR;LAN;2840;;3692
;CHEVROLET;96350734;Глушитель задняя часть LANOS 16V;LAN;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96423899;Глушитель приемная часть;REZZO;5090;;6617
;CHEVROLET;96536980;Глушитель приемная часть 1,4/1,6 DOHC;AVEO;4640;;6032
;CHEVROLET;96536882;Глушитель средняя часть ;AVEO;2350;;3055
;CHEVROLET;96264044;Глушитель средняя часть 1,6/2,0 L DOHC;REZZO;5740;;7462
;CHEVROLET;96536937;Глушителя задняя часть (седан);AVEO;4650;;6045
;CHEVROLET;96490131;Глушителя приемная труба;LACCT 1,4L, LACCT 1,6L;4650;;6045
;CHEVROLET;96553591;Глушителя средняя часть;LACTT;3490;;4537
;CHEVROLET;96553593;Глушителя средняя часть;LACTT;5320;;6916
;CHEVROLET;96648397;Гнездо заднего левого фонаря;AVEO-2;410;;533
;CHEVROLET;96545025;Гнездо заднего левого фонаря/хечбек;LACTT;1270;;1651
;CHEVROLET;96648398;Гнездо заднего правого фонаря;AVEO-2;410;;533
;CHEVROLET;96545026;Гнездо заднего правого фонаря/хечбек;LACTT;1270;;1651
;CHEVROLET;96617244;Гнездо заднего фонаря лев,/вагон;LACTT;610;;793
;CHEVROLET;#ЗНАЧ!;Гнездо заднего фонаря лев,/седан;LACTT;530;;689
;CHEVROLET;96617245;Гнездо заднего фонаря прав,/вагон;LACTT;610;;793
;CHEVROLET;96545018;Гнездо заднего фонаря прав,/седан;LACTT;530;;689
;CHEVROLET;96533442;Гнездо фонаря заднего левого ;AVEO;460;;598
;CHEVROLET;96543079;Горловина бачка омывателя;AVEO-2;100;;130
;CHEVROLET;96550799;Горловина бачка омывателя;LACTT;100;;130
;CHEVROLET;96553811;Горловина заливная бензобака;LACTT;1050;;1365
;CHEVROLET;96306516;Горловина топлевного бака ;LAN;170;;221
;CHEVROLET;96549712;Датчик ABC передний левый;LACCT 1,4L, LACCT 1,6L;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96455869;Датчик ABC передний левый;LACCT 1,4L, LACCT 1,6L;960;;1248
;CHEVROLET;96549713;Датчик ABS передний правый;LACCT 1,4L, LACCT 1,6L;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96455870;Датчик ABS передний правый;LACCT 1,6L;960;;1248
;CHEVROLET;96330547;Датчик давления воздуха;KALOS;1640;;2132
;CHEVROLET;96276354;Датчик давления воздуха;LACCT 1,6L, NUB;1700;;2210
;CHEVROLET;96345744;Датчик давления фриона;LACTT;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96448991;Датчик давления фриона;LACTT;2400;;3120
;CHEVROLET;96419955;Датчик килородный;AVEO;3090;;4017
;CHEVROLET;96423429;Датчик кислорода 1,2 SOHS;AVEO;3090;;4017
;CHEVROLET;96335927;Датчик кислородный;LAN;3300;;4290
;CHEVROLET;96394003;Датчик кислородный;AVEO, EVAN, LACCT 1,8L;3090;;4017
;CHEVROLET;96291099;Датчик кислородный 1,2/1,4/1,6;AVEO, LACCT 1,6L;3090;;4017
;CHEVROLET;96377500;Датчик кислородный 595889- CHEVROLET (в коллектор) (2pin);LAN;3090;;4017
;CHEVROLET;96276380;Датчик кислородный DOHC 1,4/1,6;LACTT;3090;;4017
;CHEVROLET;96325868;Датчик положения коленвала 1,2 SOHS;AVEO, MATIZ;800;;1040
;CHEVROLET;96253542;Датчик положения коленвала 1,4/1,6;AVEO, LACTT, NUB;1030;;1339
;CHEVROLET;10456507;Датчик положения распредвала;LAN;1680;;2184
;CHEVROLET;96253544;Датчик положения распредвала 1,4/1,6;AVEO, LACTT, NUB;1250;;1625
;CHEVROLET;96418393;Датчик положения распредвала DOHC 1,8/2,0;LACTT, LEGANZA 2,0L 16v;1100;;1430
;CHEVROLET;93742189;Датчик скорости;LACTT;3990;;5187
;CHEVROLET;96190708;Датчик скорости;LACTT, LAN, LEG;800;;1040
;CHEVROLET;96212027;Датчик стоп-сигнала;LAN;200;;260
;CHEVROLET;96540837;Дверь задняя 5-ая;AVEO;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96601703;Дверь задняя 5-ая;SPARK;6690;;8697
;CHEVROLET;96476670;Дверь задняя 5-ая;AVEO;8540;;11102
;CHEVROLET;96387133;Дверь задняя 5-ая (хэтчбек);LACTT;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96476514;Дверь задняя 5-ая (хэтчбек);LACTT;8360;;10868
;CHEVROLET;96869291;Дверь задняя LH Cruze;CRUZE;16650;;21645
;CHEVROLET;96869292;Дверь задняя RH Cruze;CRUZE;16650;;21645
;CHEVROLET;96648859;Дверь задняя левая;GENTRA/AVEO-2;Уточняйте наличие;;#ЗНАЧ!
;CHEVROLET;96386725;Дверь задняя левая;REZZO;10220;;13286
;CHEVROLET;96601252;Дверь задняя левая;SPARK;7900;;10270
;CHEVROLET;96310031;Дверь задняя левая;LAN;7960;;10348
;CHEVROLET;96897339;Дверь задняя левая;GENTRA/AVEO-2;14100;;18330
;CHEVROLET;96585390;Дверь задняя левая (хэчбэк);AVEO-1;7730;;10049
;CHEVROLET;96303928;Дверь задняя левая CHEVROLET;LAN;9120;;11856
;CHEVROLET;96547915;Дверь задняя левая CHEVROLET(вагон);LACTT;10220;;13286
